omega[meV],Eliashberg function,constraint function
1.0,0.0004748503560827387,0.0006666666666666666
2.0,0.0013794967900641409,0.0026666666666666666
2.9999999999999996,0.002349197172421091,0.005999999999999999
4.0,0.0033745844596496815,0.010666666666666666
5.0,0.00465324602914356,0.01666666666666667
5.999999999999999,0.006549549117160721,0.023999999999999997
6.999999999999999,0.009630315397040054,0.03266666666666667
8.0,0.01471210161053243,0.042666666666666665
9.0,0.022811969958642327,0.054
10.0,0.034914761981928034,0.06666666666666668
11.0,0.05167392459646982,0.08066666666666665
11.999999999999998,0.07340557412911558,0.09599999999999999
13.0,0.1005881452112841,0.11266666666666666
13.999999999999998,0.13445354766093323,0.13066666666666668
15.0,0.17675164253410977,0.15
16.0,0.20036835109747245,0.15
16.999999999999996,0.22148494100054877,0.15
18.0,0.23425218943590298,0.15
19.0,0.23448326846713627,0.15
20.0,0.22328861142631726,0.15
20.999999999999996,0.20628954784712245,0.15
22.0,0.18955521468091532,0.15
23.0,0.17667402325748038,0.15
23.999999999999996,0.16849316638326675,0.15
24.999999999999996,0.16406905030912997,0.15
26.0,0.16161180575289938,0.15
27.0,0.1592228433566391,0.15
27.999999999999996,0.15554059950564822,0.15
29.0,0.15020357326358266,0.15
30.0,0.1438923238934583,0.15
31.0,0.1379650691924205,0.15
32.0,0.13394906933254572,0.15
32.99999999999999,0.13316037037602876,0.15
33.99999999999999,0.13652766264552277,0.15
34.99999999999999,0.14452885560795484,0.15
36.0,0.15710142583268022,0.15
37.0,0.1734395056272813,0.15
38.0,0.19170352035489452,0.15
38.99999999999999,0.20884446324766204,0.15
40.0,0.22089672656828427,0.15
40.99999999999999,0.2239267217871489,0.15
41.99999999999999,0.2155138873400394,0.15
43.0,0.1960745665320634,0.15
44.0,0.16915768686863536,0.15
45.0,0.14019645365522912,0.15
46.0,0.11438394407988303,0.15
47.0,0.09502795021787828,0.15
47.99999999999999,0.08334517433504951,0.15
48.99999999999999,0.07935276139909143,0.15
49.99999999999999,0.08290965033075358,0.15
50.99999999999999,0.09424050756451638,0.15
52.0,0.11382076377652303,0.15
53.0,0.14167904923836766,0.15
54.0,0.17636418208240592,0.15
54.99999999999999,0.21411313765880538,0.15
55.99999999999999,0.24892251989047304,0.15
56.99999999999999,0.2737805318791663,0.15
58.0,0.2827490194815412,0.15
58.99999999999999,0.2731236402547865,0.15
60.0,0.2468886368634323,0.15
61.0,0.21034107454561735,0.15
62.0,0.1715560724763361,0.15
62.999999999999986,0.13713933488385352,0.15
64.0,0.11049290479197375,0.15
65.0,0.0922095163395161,0.15
65.99999999999999,0.08146599116516925,0.15
66.99999999999999,0.07718172496332339,0.15
67.99999999999999,0.07857240334149874,0.15
68.99999999999999,0.08520539675579218,0.15
69.99999999999999,0.09672511176046843,0.15
71.0,0.11233410142453477,0.15
72.0,0.13023652683087034,0.15
73.0,0.14743018073201342,0.15
74.0,0.16029851891671842,0.15
75.0,0.1658310714898021,0.15
76.0,0.16276049529448194,0.15
77.0,0.15188330778734874,0.15
77.99999999999999,0.13550323702609673,0.15
79.0,0.11647064906687614,0.15
80.0,0.09733459749399347,0.15
80.99999999999999,0.07987352549138581,0.15
81.99999999999999,0.06499023299346521,0.15
82.99999999999999,0.05285763374492683,0.15
83.99999999999999,0.04315919447247079,0.15
85.0,0.03533308097672104,0.15
86.0,0.028785182218304842,0.15
86.99999999999999,0.0230725134054257,0.15
88.0,0.018016146664601995,0.15
89.0,0.013672719872234425,0.15
90.0,0.010175977633775153,0.15
91.0,0.007575894653063831,0.15
92.0,0.005793250916929368,0.15
93.0,0.004672934811115041,0.15
94.0,0.0040545478530720795,0.15
94.99999999999999,0.003808457272597478,0.15
95.99999999999999,0.003834441210147995,0.15
96.99999999999999,0.0040359492964815525,0.15
97.99999999999999,0.004288884907449562,0.15
98.99999999999999,0.004436416234092908,0.15
99.99999999999999,0.0043401471931922555,0.15
